traded,impsubcase,assump,unit
h2,A,50,EUR/MWh
h2,B,15,EUR/MWh
ironore,,10,EUR/t
dri,,20,EUR/t
steelhrc,,20,EUR/t
nh3,,30,EUR/t
urea,,50,EUR/t
meoh,,30,EUR/t
hvcs,,80,EUR/t
