type,assump,unit
price:ng,45.0,EUR/MWh
price:ironore,130.0,EUR/t
price:alloys,1720.0,EUR/t
price:coal,4.0,EUR/GJ
price:graph_electr,4000.0,EUR/t
price:lime,100.0,EUR/t
price:nitrogen,100.0,EUR/t
price:oxygen,100.0,EUR/t
price:steelscrap,180.0,EUR/t
price:water,10.0,EUR/t
